tea,l7GQ-fR-DsA
weekly (example),5ToU3NVFX_Q
weekly,95KlTHhKlmk
weight, weigh, weighing scale (sign 1),sJ6Zv0fi1xM
weight, weigh, weighing scale (sign 2),lDO3r1artKs
weight, weigh, weighing scale (sign 3),qjnZDMjWiuk
weightlifting,4LndvMQ2dO0
weird, absurd,tgJL-RUAvO8
weird, odd,MjRPq3GCSZk
Indian Sign Language Teachers  Association (ISLTA),tcHUMXaIuw0
Indonesia,5p0_OOFy_NY
India sign 3,FdxGN0ru6F8
India Gate,DSr0qd_JY8w
India sign 2,dkwDWRmVwUc
India sign 1,VAhELbOjQFc
incite, ignite, inflame, instigate, stir up, provoke (sign 2),ui_ACRhp1jY
include,rQkxqEgXEYQ
Independence Day,lts3gE45zV4
in, under,rj0GN2scIsU
image, photo,hTxZxP5ypNk
impure,xgKs0R0K6M4
identity card (sign 3),RxqkJA2EG0s
illegal, unlawful (sign 2),eBiQCRMwX1A
I don't know,M-sKe4o73uE
Iceland,Xbglx4_9h88
ice cream (sign 3),go4BoZ5lX1s
iBall Mobile,yBu6pCi5gag
I understand,a5kEZgbaT7w
wear,qoU45G2WmsE
wavy hair,4rworePKeMo
waxing (hair removal),wru3RdDTafg
way (sign 1),X5CuJTOY2g0
way (sign 2),b9W1y77hDSc
ways, methods,qJ25qL-gfX8
we,h58uVxY-2uE
weak (sign 1),KtYQWbd8c2c
weak (sign 2),nHdz1IK9ydw
weak,Yz6em7jgxK0
wealthy, rich  affluent, well off,krnKXV-ct3Q
weapon,M-aaJfrtvaA
wave (sign 2),LNVUK4DX5GA
waterfall (sign 2),IPUJ9bHGQgM
wave (sign 1),zZs0BXEssdQ
watermelon,3qKiJRMOzsc
waterfall (sign 1),T4-Q9pABqYs
water,SlORjr0kUM4
washerman,7RjhIe4sKm0
washing machine,rc7GRaEyQHQ
washroom,pyrA60I4x5k
waste,YT73Lh88yeE
watch, guard, keep an eye on,Roh9CQ2tF3Y
watch, wristwatch, timepiece,yjI4oup9SFU
water filter,bIha_uKKc-U
water motor, water pump,tDtIQ2M-GRo
wash (utensils) (sign 2),_prgaw9obbQ
wash (utensils) (sign 1),Ika-iBJ4-Ns
wash (meaning),eZ1NWsWssI0
wash (hands),Ygj0IRouWKg
wash (face),OkC4seOp-00
wash (clothes),hUlyxPexDU0
warn, admonish,1tst7-aazJo
warm (sign 2),uhJRFZWXPEo
warm (sign 1),3muHDD0neyo
warm (meaning),Gpjn1Iun6CI
war (sign 2),6bhBP3kbyds
war (sign 1),VfN66I8-KEk
want, desire, wish for,Zux-Hazhhqo
heart, love (romantic),zyvgHgT6d7c
hear (eg. news),gQ_YY5vF99k
hearing,0QITb6bNnHc
hear, listen (sign 1),0uvuluJqqAM
headache,AaHFB_q7AO0
wallet,TIr35oN6iSE
wall,runWN1EzmEE
walk,Q1FtAjA_raE
Wales,Hk0qqXk8-nU
Wait,M24VjuHEfgo
WAIT, HALT,�STAY,I3haAOluERo
waiter,DQpcpMqTpjk
wake,9xgeOH9Jl9U
waist,fKOF7hN3cws
zoo (sign 3),dQABEhftkDY
zoo (sign 2),F9xcw575Q-A
zoo (sign 1),ws_qjks_TFo
zip (sign 2),qm7nogtX_GY
zip (sign 1),CLxxQFQiTic
Zimbabwe,x-Bc7ssevU8
zigzag,b9Ad8smAqhs
zebra,DCjd5dJLuF4
zebra crossing,2yDcFJQ3t8Y
Zambia,wsWElJBdZcA
YouTube,JHyzbf0wbL0
youth,u2IcV4xxNSA
Youth Association of the Deaf India (sign 2),jTiYeNeaS-s
Youth Association of the Deaf India (sign 1),C5lKWeivlFY
yourself,ZY-WTPLbMZc
your,Yc0Mx7DJ_Io
younger,Ctij9uzbRTU
young,WoNO_8tWHBQ
younger brother,whLOS_LCl9U
younger sister,BauK2i6mmK4
You can't judge a book by its cover,JYD8B88hxtk
you,QE4UkDB3MyE
yes (sign 1),LAT-u9Ww5ZU
yes (sign 2),MXmTYGHWvvE
yesterday,3fKtgE9aQso
yoga,yuJ6ZBt0MBw
yellow,doW1fga72Kk
year,oMptigXjs8w
Yamaha Bike,LfNnApnUb0k
yak (sign 2),5pRxQFocP7I
yak (sign 1),lZi4g6ZWBro
Yahoo,X4Vs1TVkNss
xylophone,_Zk6T8osdEc
0 zero,pwGHjBM_o0A
bye, goodbye,O6YJgD20e2g
By the skin of one's teeth,u3556HSSZS8
busy,C-rIgD-yIvg
business (sign 2),8wI11m_OvYo
business (sign 1),vt86EMAaXHM
bus conductor,QmCEr-G9Nug
bus (sign 2),I9OiCuVT6TQ
bus (sign 1),HufgJPpb1kQ
bury,cigrNp7NbVY
burn,KoMeOserJ2M
Burundi,7c7A8VNHDg0
burden, overload, strain,vVylNakRi6s
burger,TK3H8rmoV1Q
bullet train,o9vIJZ9h9dQ
bull,GhK-KsZ6mlo
bulb,TickiRU7XxU
buffet (example),s6BX-UjWPDQ
buffet,oQhxACPhL1k
bugle,7n50MsM5c7A
Bugs Bunny,Uuid3jSp7Wc
builder,UtIn2Jira9w
building structure,Oql_D1R8kVE
gold (very valuable) (meaning),lpFt9c1GueI
gold (Sign 1),1rjhkQSKHSI
goldfish,R6ILTJGPlUo
Good afternoon,8hPNnF65IMg
grandfather,z3C2pnumALw
grandmother,1sZ4BSOC8nc
green,yQXFOVuS7r8
Gujarat (sign 1),-MS1EdYqs48
Gujarati,BU67b7LtyE0
gulab jamun,1s1kck3BMLM
grey (sign 2),Z6JNDTUxfUc
group,VkrF0Q4fWRo
grow (hair),pMUP28lpEtI
grow (humans, animals, etc),Eg7eVi4c11k
grow (plants),18NS94mBGS4
grow (snake),XDNgMT4swe4
bucket,08z_-ESgSP0
Buddha Purnima,3v5Id7dDttk
Buddha Statue, Hyderabad,M0bcUWG8vrg
Buddhism, Buddhist (sign 1),Zgt1aed1imY
Buddhism, Buddhist (sign 2),Ot-XctUkMY8
budget, funds,ADOlYPfw_T8
buffalo (sign 1),nGk01dUfQo0
buffalo (sign 2),I4pibKfr0jU
buffalo (sign 3),_OCCVPF3icI
BSNL,yLpc_-hWZAA
grudge (meaning),YTwtf3S3uuM
grudge,UceHJJVBBzU
guava,5luUUDnqHL0
guess,9KMPc_T4bU8
guilt,1z5RuDOokzk
Guinea,KfqRU_5sing
guitar,pVFFflkBVio
Gujarat (sign 2),TrDii_6LlNg
Gujarat (sign 3),uLSHBm4_kaw
gun (sign 1),5QEBvIx9U0w
gun (sign 2),t9b5K6YsBk8
Guru Nanak  Jayanti,xcesnw2TvT0
Guru Nanak,WXDDCUpUoUo
gutka,6P3Z2nkQD3c
Gurudwara sign 1,yVj4srfLfSc
Gurudwara sign 2,ymvaZ1cxW2s
habit,dGg9jffJ8us
hair dryer (sign 1),qoMWB2o9jfE
hands,ibTYqJp5cJ4
Hang in there,x53QBItEZsk
hail,y-bSGi85wc0
hair clip,GSMQDwI83aI
hair dryer (sign 2),MflJey4lrQk
hair,FTNGNvDqp-g
half, part,STJ38FSDE8w
half,VhyiA9MZWZw
bride,v_BzLSp7PLM
bridegroom, groom,Jedn1-9fyXw
briefcase,h6LSVGsUiRA
bright,7P9YL1tEnVs
brinjal, eggplant,woQgNTk9IIE
